timestamp,open,high,low,close,volume
2024-01-01 09:00:00,100.02010959729952,100.0138656186097,99.98310654950969,100.00993428306022,4
2024-01-01 09:00:05,100.00253983324194,100.02371473532581,99.96957518481834,100.0071689970368,6
2024-01-01 09:00:10,100.03087667334297,100.03253714178035,100.01311953983087,100.02012276779881,5
2024-01-01 09:00:15,100.06168836358346,100.09998406303025,100.03316963415882,100.05058336492698,9
2024-01-01 09:00:20,100.05672566751934,100.06536978641586,100.02642283920844,100.04590029743251,8
2024-01-01 09:00:25,100.03461607962016,100.07784819325555,100.01565277098122,100.04121755829352,9
2024-01-01 09:00:30,100.07111843826131,100.10703807279774,100.02634799659084,100.07280181460368,7
2024-01-01 09:00:35,100.09054517907454,100.0987545710606,100.04443568117563,100.08815050918673,9
2024-01-01 09:00:40,100.06505260101973,100.0907109054786,100.07203474685356,100.07876102146803,3
2024-01-01 09:00:45,100.10556142442061,100.1036764505174,100.08097273974563,100.08961222233975,9
2024-01-01 09:00:50,100.08022110314847,100.10090023239647,100.06246184100405,100.0803438684835,2
2024-01-01 09:00:55,100.07386855228815,100.08274552669462,100.05649208011756,100.0710292734121,9
2024-01-01 09:01:00,100.07009847444616,100.07685109298076,100.0451299711856,100.07586851884342,6
2024-01-01 09:01:05,100.0243341383566,100.08157256679063,99.99246411156204,100.03760291395027,4
2024-01-01 09:01:10,99.99706425844526,100.05138504886905,99.95498998021638,100.0031045573,2
2024-01-01 09:01:15,99.99405084859153,100.00893732606677,99.95917865908842,99.99185880671519,3
2024-01-01 09:01:20,99.97833647243603,99.98852752827977,99.92969422423845,99.9716021843085,5
2024-01-01 09:01:25,99.97950504636643,99.97824172159912,99.95162702094886,99.9778871309604,9
2024-01-01 09:01:30,99.9631938896124,99.9937391838665,99.94931030210698,99.95972664944998,7
2024-01-01 09:01:35,99.92811031167645,99.9727525702107,99.90524615481858,99.93148057542327,3
2024-01-01 09:01:40,99.96575603646416,99.9681239658197,99.93303942072981,99.9607935508017,4
2024-01-01 09:01:45,99.97110635345582,99.96426134226033,99.91915514658129,99.95627802479197,2
